,name,x,y,z
169,Таганская,2839.373268844934,2190.8253262948783,5265.727378988944
170,Павелецкая,2840.8239135249146,2190.5970694632497,5265.03988319215
171,Добрынинская,2841.5260906302196,2190.050463085455,5264.888360203559
172,Октябрьская,2841.9453392953124,2189.465740122795,5264.905266126467
173,Парк культуры,2842.1975371786775,2188.241144945292,5265.2782311311885
174,Киевская,2842.569413843156,2186.4937772543926,5265.803366012749
175,Краснопресненская,2840.9752900080925,2186.0382747489602,5266.852671462913
176,Белорусская,2839.6989860695217,2185.4656764141705,5267.778511453503
177,Селигерская,2834.390460497445,2178.840693953754,5273.378892874302
178,Верхние Лихоборы,2834.5737530199485,2179.986857208719,5272.806647421054
179,Окружная,2834.752131551401,2180.776941833253,5272.384022682072
180,Петровско-Разумовская,2835.474234393339,2181.6826396169395,5271.620977089075
181,Фонвизинская,2836.0107336126616,2183.0806137061077,5270.753565942383
182,Бутырская ,2836.1380312640963,2184.3393842988494,5270.16351945728
183,Марьина Роща,2837.0556413765107,2186.103554550378,5268.937989435434
184,Достоевская,2838.0212153065645,2186.6667280628,5268.184241449134
185,Трубная,2838.730825574002,2187.848129182874,5267.311350543742
186,Сретенский бульвар,2838.3220125233015,2188.6199502750433,5267.211014045644
187,Чкаловская,2838.159101452657,2190.3594428156625,5266.575683127483
188,Римская,2838.0166317367125,2191.8862012940403,5266.0172311304295
189,Крестьянская застава,2839.6507540367006,2191.9876810602327,5265.093978380536
190,Дубровка,2840.2656757697896,2193.327469661834,5264.204261032317
191,Кожуховская,2840.780389800263,2194.45169075564,5263.457946432742
192,Печатники,2840.0981317054993,2197.321929341576,5262.628615161586
193,Волжская,2839.2813809394943,2198.7484958390974,5262.4734956002985
194,Люблино,2840.00584325072,2199.890400978716,5261.60527158618
195,Братиславская,2841.8043470007665,2200.2342800437023,5260.490297138483
196,Марьино,2842.6810881673787,2200.5503770031796,5259.884339911543
197,Борисово,2843.909858995197,2201.461019181113,5258.838949324839
198,Шипиловская,2844.6853744802306,2202.083416424765,5258.158874294814
199,Зябликово,2845.326841572883,2202.712372789831,5257.548322876688
200,Каширская,2845.9937482710616,2195.4875755210664,5260.208635646942
201,Варшавская,2847.148452529672,2194.1452950465964,5260.143830113657
202,Каховская,2848.054044280947,2193.0255148204665,5260.120554911396
203,Бунинская аллея,2859.503616969915,2195.435245042916,5252.898642593375
204,Улица Горчакова,2858.571213182737,2196.001472646083,5253.169438662645
205,Бульвар Адмирала Ушакова,2857.9649812332773,2196.3501504653527,5253.35351776321
206,Улица Скобелевская,2857.3560586319386,2196.706636026514,5253.535696027622
